paper_run_id,internal_training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
2,9203,BASELINE,global,,7,0.35,0.0,0.798859078830441,0.0,0.0,0.0,1.7627158604359394,0.0,0.0,0.0,0.7114704389647841,0.0,0.0,0.0
2,9203,GLOBAL_K1_OFF,global,,0,0.0,-0.35,-0.004851814694978514,-0.8037108935254196,-1.0123969144968372,-0.5858008048102809,0.4218125754698083,-1.340903284966131,-1.6164909519353694,-1.0620016648040715,0.4819005791336819,-0.2295698598311021,-0.273434129114893,-0.18585804956276156
2,9203,GLOBAL_K2_OFF,global,,0,0.0,-0.35,0.31437551121338553,-0.4844835676170556,-0.6841464509138769,-0.27721278141574984,0.567198649793121,-1.1955172106428187,-1.4860770128795455,-0.8989344893720146,0.5642695295623296,-0.1472009094024544,-0.18830922764048597,-0.10671964536973239
2,9203,GLOBAL_BOTH_OFF,global,,0,0.0,-0.35,1.1653846816431337e-05,-0.7988474249836246,-1.0084945482478231,-0.5871376633044751,-1.155759482307676e-05,-1.7627274180307626,-2.0330888658894204,-1.4910219318420752,0.4330485560748718,-0.2784218828899121,-0.4445914949562721,-0.11002754940677456
2,9203,J01_BOTH_OFF,whole_joint_ablation,1.0,0,0.0,-0.35,-0.00348379779129719,-0.8023428766217384,-1.0157738377346175,-0.5861841367887544,0.5813388845069368,-1.181376975929003,-1.4543711325448672,-0.9077767545919878,0.47742103352190746,-0.23404940544287656,-0.2781113146887256,-0.18876350467823366
2,9203,J02_BOTH_OFF,whole_joint_ablation,2.0,0,0.0,-0.35,0.00317259920284668,-0.7956864796275944,-1.00631985545452,-0.5803257640146481,0.7799642481008852,-0.9827516123350544,-1.2635174085624756,-0.7108579205042705,0.49765570024658823,-0.2138147387181958,-0.2577585626138957,-0.16807242774628672
2,9203,J03_BOTH_OFF,whole_joint_ablation,3.0,0,0.0,-0.35,0.015676096414066688,-0.7831829824163744,-0.9895988929104697,-0.5683410015211057,2.056705608238703,0.2939897478027635,0.005514797512426614,0.5757605015729905,0.5344680976065067,-0.1770023413582773,-0.2217357706785955,-0.1324492447941651
2,9203,J04_BOTH_OFF,whole_joint_ablation,4.0,0,0.0,-0.35,0.021310549067555012,-0.777548529762886,-0.9906267414236014,-0.5555982979967771,1.2960867981177686,-0.46662906231817053,-0.7491660336388318,-0.18793269077196484,0.5215746583838885,-0.18989578058089554,-0.2361019114309586,-0.14415103104443544
2,9203,J05_BOTH_OFF,whole_joint_ablation,5.0,0,0.0,-0.35,-0.12696684684882903,-0.9258259256792701,-1.1445306165460623,-0.7090174607619287,0.31286087533636875,-1.4498549850995706,-1.7358580707143345,-1.172320667916438,0.570854971187327,-0.14061546777745687,-0.18467369215999402,-0.0957510597973179
2,9203,J06_BOTH_OFF,whole_joint_ablation,6.0,0,0.0,-0.35,0.18343268471732843,-0.6154263941131127,-0.823343586474007,-0.40972996864735145,0.3159801762965336,-1.4467356841394061,-1.7125435528474933,-1.1837761434061183,0.7391118836250972,0.02764144466031305,-0.03496759229028165,0.09120388444222552
2,9203,J07_BOTH_OFF,whole_joint_ablation,7.0,0,0.0,-0.35,0.21756091588520418,-0.581298162945237,-0.8088027455426675,-0.35737275784338507,0.46641882371406596,-1.2962970367218731,-1.585977348971221,-1.0092953833722,0.5705319291927972,-0.14093850977198688,-0.1860137556015711,-0.0952545124750902
2,9203,J08_BOTH_OFF,whole_joint_ablation,8.0,11,0.55,0.20000000000000007,0.9824854219725131,0.18362634314207188,-0.22293857608024462,0.5631466705130901,1.7632680491243071,0.0005521886883679605,-0.47577479132664907,0.4610187076063526,0.7381377974103857,0.026667358445601818,-0.049022788245068755,0.10062131192551134
2,9203,J01_ONLY,single_joint_retention,1.0,0,0.0,-0.35,0.0020473607950242697,-0.796811718035417,-1.0047047053082478,-0.5762918894667204,-0.008038064931171828,-1.7707539253671114,-2.0445994810368675,-1.5049489568114316,0.6362255062719688,-0.0752449326928151,-0.13775421646501795,-0.01570980714462416
2,9203,J02_ONLY,single_joint_retention,2.0,0,0.0,-0.35,1.1643237394347214e-05,-0.7988474355930467,-1.0129140862754284,-0.5864199555793678,-6.328862114083456e-05,-1.7627791490570803,-2.036120408906738,-1.5020451987720447,0.5199603174603176,-0.1915101215044665,-0.3294679230678192,-0.06215022423665478
